id,name,origin,homepageStatus,homepageFinalUrl,homepageBytes,canonical,schemaTypes,hreflangs,robotsStatus,oaiSearchBot,gptBot,claudeBot,rootSitemapStatus,rootSitemapUrls,blogSitemapStatus,blogSitemapUrls,declaredUrls,llmsStatus,llmsBytes,firstPartyRumDeclared
ivryn,IVRYN,https://ivryn.com,200,https://ivryn.com/,69880,https://ivryn.com/,Organization|WebPage|WebSite,en|es|fr|x-default,200,allowed,allowed,allowed,200,22,200,8,29,200,4414,true
imryn,IMRYN,https://imryn.com,200,https://imryn.com/,28147,https://imryn.com,FAQPage|Organization|SoftwareApplication|WebSite,en|es|fr|x-default,200,allowed,allowed,allowed,200,43,200,10,52,200,3064,true
datvero,Datvero,https://datvero.com,200,https://datvero.com/,139483,https://datvero.com,Organization|SoftwareApplication|WebSite,en|fr|x-default,200,allowed,allowed,allowed,200,28,200,9,37,200,4475,true
cascads,Cascads,https://cascads.com,200,https://cascads.com/,62201,https://cascads.com/,FAQPage|Organization|SoftwareApplication|VideoObject|WebPage|WebSite,en|es|fr|x-default,200,allowed,allowed,allowed,200,68,200,10,77,200,6470,true
reef,Reef,https://reeftogether.com,200,https://reeftogether.com/,112309,https://reeftogether.com/,FAQPage|MobileApplication|Organization|WebPage|WebSite,en|es|fr|x-default,200,allowed,allowed,allowed,200,31,200,3,33,200,4516,true
flare,Flare,https://flareflights.com,200,https://flareflights.com/,87478,https://flareflights.com/,FAQPage|MobileApplication|Organization|WebPage|WebSite,en|es|fr|x-default,200,allowed,allowed,allowed,200,450,200,9,458,200,4226,true
sealed,Sealed,https://sealedreveal.com,200,https://sealedreveal.com/,32613,https://sealedreveal.com/,FAQPage|MobileApplication|Organization|WebPage|WebSite,en|fr|x-default,200,allowed,allowed,allowed,200,19,200,8,26,200,4859,true
crucible,Crucible CLUB,https://crucibleclub.com,200,https://crucibleclub.com/,29938,https://crucibleclub.com/,Organization|WebPage|WebSite,en|fr|x-default,200,allowed,allowed,allowed,200,7,200,7,13,200,1992,true
victor,Victor Laybats,https://victorlaybats.com,200,https://victorlaybats.com/,63642,https://victorlaybats.com/,FAQPage|Person|ProfessionalService|WebPage,en|es|fr|x-default,200,allowed,allowed,allowed,200,29,200,7,35,200,4933,true
